store,Product ID,Product Title,Brand,Unit,Quantity Per Case,State,City,District,Units_Sold,Unit_Price,Revenue,Cost,Profit,Customer_Rating,In_Stock,Date
Store #102,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,California,San Francisco,District B,67,4.37,292.79,193.63,99.16,4.6,True,2024-05-20
Store #102,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,San Francisco,District B,13,18.1,235.3,137.15,98.15,4.4,False,2024-08-04
Store #104,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Dallas,District C,112,8.25,924.0,590.24,333.76,4.8,False,2024-11-28
Store #103,PID-1012,Organic Chia Seeds 500g,NutriFarm,Bag,12,Texas,Austin,District C,92,8.3,763.6,444.36,319.24,4.7,False,2024-08-04
Store #107,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Florida,Miami,District D,93,4.03,374.79,251.1,123.69,4.7,True,2024-07-02
Store #107,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,Florida,Miami,District D,80,4.12,329.6,212.0,117.6,4.8,True,2024-10-09
Store #102,PID-1001,Organic Almond Milk 1L,NutriFarm,Carton,12,California,San Francisco,District B,63,4.61,290.43,202.86,87.57,4.8,True,2024-12-04
Store #107,PID-1005,Artisan Sourdough Loaf,HarvestGold,Pack,8,Florida,Miami,District D,98,6.27,614.46,370.44,244.02,4.6,True,2024-08-20
Store #102,PID-1010,Extra Virgin Olive Oil 750ml,GreenValley,Bottle,6,California,San Francisco,District B,48,19.05,914.4,536.64,377.76,4.4,True,2024-11-21
Store #109,PID-1004,Greek Yogurt Plain 450g,AlpineDairy,Tub,12,California,San Diego,District A,88,5.47,481.36,321.2,160.16,4.1,False,2024-12-16
Store #106,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Washington,Seattle,District B,21,6.11,128.31,88.62,39.69,4.9,True,2024-05-17
Store #108,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Illinois,Chicago,District B,122,6.07,740.54,423.34,317.2,4.7,True,2024-11-25
Store #110,PID-1007,Grass-Fed Whole Milk 1 Gal,AlpineDairy,Jug,6,Texas,Houston,District C,107,6.2,663.4,464.38,199.02,4.0,True,2024-10-25
Store #101,PID-1002,Cold Brew Coffee 330ml,PureBrew,Bottle,24,California,Los Angeles,District A,45,4.11,184.95,113.4,71.55,3.9,True,2024-03-19
